JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2394510.0,5.5,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394515.0,5.6,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394517.0,5.6,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394524.0,5.5,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394532.0,5.3,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394665.0,6.1,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394667.0,6.1,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394669.0,6.0,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394679.0,5.7,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394680.0,5.7,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394682.0,5.4,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394685.0,5.3,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394689.0,5.2,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394694.0,5.2,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394695.0,5.3,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394696.0,5.3,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394697.0,5.3,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394698.0,5.3,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394700.0,5.3,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394708.0,5.5,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394709.0,5.8,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394710.0,5.7,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394711.0,5.7,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394718.0,5.9,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
2394726.0,6.1,,,Vis.,AFW,,NA,,NA,1900ANHAR-33-63.  ENTERED BY PKV.,,,Z,,,,R SCT,,STD,,1900AnHar..33...29P,PKV,
