JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2448686.5,12.9675,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448696.6,12.9675,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448715.6,12.9675,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448744.6,12.568499999999998,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448752.4,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448753.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448753.6,12.269250000000001,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448754.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448755.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448756.6,12.369,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448757.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448758.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448763.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448765.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448766.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448767.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448768.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448769.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448770.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448771.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448772.5,12.86775,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448772.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448773.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448775.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448776.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448777.5,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448778.5,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448779.6,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448780.5,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448781.4,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2448782.5,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448783.5,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448785.6,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448798.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448799.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448800.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448801.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448802.3,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448803.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448804.2,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448805.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448806.4,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448807.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448812.3,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448813.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448814.3,12.86775,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448819.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448820.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448821.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448823.3,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448824.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448825.2,13.167,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448825.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,-9999.99,-9999.99
2448827.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448828.2,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448830.3,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448831.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448832.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448833.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448834.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2448835.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448836.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448837.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448838.2,13.167,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448839.4,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448840.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448841.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448842.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448849.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448850.2,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448851.2,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448852.2,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448853.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448854.2,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448855.2,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448856.2,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2448857.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448858.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448860.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448864.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448865.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448867.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448868.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448880.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2448884.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448885.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448886.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448892.3,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448899.2,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448908.2,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448909.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448910.3,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448911.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448912.2,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448913.2,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448914.3,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448917.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448918.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448921.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2448922.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449065.5,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449079.5,12.369,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449081.5,12.369,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449087.5,13.06725,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449090.5,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449091.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449092.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449093.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449095.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449096.5,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449097.5,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449098.5,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449099.5,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449100.6,13.167,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449101.5,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449102.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449105.4,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449106.4,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449109.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449111.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449112.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449114.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449115.5,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449118.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449119.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449121.4,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449124.3,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449125.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449126.6,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449127.4,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449128.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449129.6,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449132.6,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449133.5,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449135.4,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449136.4,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449137.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449138.6,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449139.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449140.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449146.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449147.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449148.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449149.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449151.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449152.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449153.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449154.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449155.5,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449156.6,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449157.5,12.86775,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449158.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449159.4,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449160.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449161.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449162.5,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449163.6,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449164.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449165.4,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449169.6,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449176.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449177.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449178.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449179.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449180.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449181.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449182.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449184.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449185.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449186.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449191.3,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449192.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449193.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449195.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449196.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449197.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449203.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449204.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449205.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449207.3,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449208.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449209.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449212.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449213.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449214.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449234.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449237.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449238.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449240.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449241.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449242.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449245.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449247.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449248.3,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449249.2,12.568499999999998,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449271.2,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449274.2,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449284.2,13.3665,,,Vis.,COM,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449284.2,12.9675,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449288.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449290.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449291.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449292.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449293.2,12.66825,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449295.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449298.2,12.768,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
2449412.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,0.0,0.0
2449418.5,12.46875,,,Vis.,OB,         ,,,,,,,V,,,,V739 SGR,,STD,,,,,,472.52349084947855,708.7060990229543
