JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2456150.1042,12.444999999999999,,,Vis.,PEX,B,127,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456155.0965,13.11,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456157.1201,13.11,,,Vis.,PEX,B,139,,,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456166.0944,13.11,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456169.0632,12.54,,,Vis.,PEX,B,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456170.0611,13.014999999999999,,,Vis.,PEX,B,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456177.0542,12.92,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456183.0667,12.92,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456187.0549,12.825,,,Vis.,PEX,B,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456194.0285,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456357.3361,12.825,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456358.3681,12.35,,,Vis.,PEX,,127,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456364.3417,12.254999999999999,,,Vis.,PEX,,127,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456381.2986,12.54,,,Vis.,PEX,B,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456384.3215,12.35,,,Vis.,PEX,,127,131.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456393.3319,12.444999999999999,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456433.3542,14.06,,,Vis.,PEX,,151,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456436.3347,13.774999999999999,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456456.1646,14.25,,,Vis.,PEX,,151,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456459.2993,14.25,,,Vis.,PEX,,151,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456479.1188,14.25,,,Vis.,PEX,,151,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456753.2951,14.155,,,Vis.,PEX,,139,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456814.3111,12.825,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456834.0826,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456872.1201,12.635,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456874.1181,12.825,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456896.0771,12.92,,,Vis.,PEX,,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2456918.0444,12.825,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,RASNZ-VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457076.3632,13.68,,,Vis.,PEX,,,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457086.3333,13.395,,,Vis.,PEX,,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,0.0,0.0
2457105.3056,13.014999999999999,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457110.3465,13.014999999999999,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457113.316,13.11,,,Vis.,PEX,,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457115.3451,13.205,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457127.3528,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457130.3264,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,VSS,STD,,,,,,472.52349084947855,708.7060990229543
2457133.3104,12.92,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457136.3021,12.825,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457151.3424,12.825,,,Vis.,PEX,B,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457154.3236,12.92,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457155.3229,13.014999999999999,,,Vis.,PEX,,127,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457157.309,12.92,,,Vis.,PEX,U,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457162.3278,12.92,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457164.3472,12.825,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457168.3188,12.73,,,Vis.,PEX,,131,138.0,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
