JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2454995.513,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2454998.49,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455000.513,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455002.5787,10.893498000000001,0.01,,V,DKS,,000-BJW-745,000-BJW-746,6959AIQ,,0.0,,Z,12.86,13.056,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455005.5125,11.58696,,,Vis.,PYG,,,,1261adf,35cm SCT,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455008.511,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455012.509,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455016.505,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455017.80624,11.1384042,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.146,Z,19.194,19.421,,NSV 11154,,STD,1.0,,,,934.9911397819204,743.8028396870322
2455017.80847,11.125237199999999,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.152,Z,19.22,19.445,,NSV 11154,,STD,1.0,,,,934.9911397819204,743.8028396870322
2455017.81071,11.10417,0.007,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.159,Z,19.208,19.415,,NSV 11154,,STD,1.0,,,,934.9911397819204,743.8028396870322
2455017.82046,9.876127799999999,0.006,,I,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.188,Z,19.466,19.609,,NSV 11154,,STD,1.0,,,,934.9911397819204,743.8028396870322
2455017.82269,9.871738800000001,0.007,,I,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.196,Z,19.478,19.629,,NSV 11154,,STD,1.0,,,,934.9911397819204,743.8028396870322
2455017.82491,9.884905799999999,0.007,,I,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.203,Z,19.465,19.637,,NSV 11154,,STD,1.0,,,,934.9911397819204,743.8028396870322
2455019.512,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455019.65904,11.143671,0.008,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.013,Z,19.298,19.534,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455019.66133,11.152448999999999,0.008,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.012,Z,19.332,19.576,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455021.506,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455021.66691,11.1366486,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.007,Z,19.216,19.453,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455021.66939,11.140159800000001,0.007,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.006,Z,19.267,19.508,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455021.67163,11.1243594,0.007,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.006,Z,19.276,19.492,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455022.511,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455023.63372,11.1006588,0.007,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.024,Z,19.275,19.495,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455025.488,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455028.535,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455030.315,11.622072,,,B,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455030.315,10.419486,,,R,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455030.315,11.191949999999999,,,TG,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455031.62468,10.9777668,0.005,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.014,Z,19.238,19.462,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455032.479,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,0.0,0.0
2455033.488,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455035.60038,10.9444104,0.011,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.024,Z,20.261,20.465,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455037.488,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455040.465,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455045.506,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455045.60916,10.8899868,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.005,Z,19.279,19.494,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455048.5975,10.9075428,0.014,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.006,Z,19.934,20.14,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455051.453,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455058.339,11.069058,,,TG,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455058.339,11.420178,,,B,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455058.339,10.200035999999997,,,R,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455058.58605,10.865408400000002,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,,0.0,1.005,Z,19.098,19.306,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455059.5855,10.845219,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,,0.0,1.005,Z,19.197,19.431,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455060.59098,10.792551,0.008,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,COMP MAGS FROM TASS MK IV CATALOG,0.0,1.007,Z,19.419,19.662,,NSV 11154,,STD,,,,,-9999.99,-9999.99
2455061.426,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455061.58856,10.7600724,0.007,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,,0.0,1.007,Z,19.456,19.696,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455063.383,10.103478,,,R,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455063.383,11.297286,,,B,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455063.383,10.919832000000001,,,TG,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455063.443,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455068.428,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455069.393,11.165616,,,B,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455069.393,10.788162,,,TG,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455069.393,9.989364,,,R,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455069.56056,10.599435000000001,0.01,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE.,0.0,1.006,Z,19.104,19.327,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455072.425,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455074.389,9.945473999999999,,,R,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455074.389,11.174394000000001,,,B,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455074.389,10.796940000000001,,,TG,KVI,,,,999999,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455076.397,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,0.0,0.0
2455080.55701,10.602068399999999,0.005,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE.,0.0,1.018,Z,19.092,19.305,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455084.418,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455089.62834,10.7109156,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,,0.0,1.203,Z,19.064,19.309,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455089.62987,10.700382,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,,0.0,1.208,Z,19.075,19.293,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455094.53805,10.810984800000002,0.003,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE,0.0,1.036,Z,19.002,19.233,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455095.422,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455095.60997,10.8338076,0.006,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE,0.0,1.196,Z,19.298,19.521,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455096.51946,10.836441,0.011,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE,0.0,1.023,Z,19.12,19.339,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455098.445,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455100.51123,10.836441,0.002,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE,0.0,1.025,Z,18.999,19.228,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455101.36,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455116.322,10.9725,,,Vis.,PYG,,129+4,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455117.328,10.88472,,,Vis.,PYG,,126+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455121.319,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455124.4919,10.562567399999999,0.002,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE,0.0,1.093,Z,18.997,19.228,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455130.484,10.652103,0.013,,V,HTY,,GSC03531-00470,GSC03531-00042,1270IO,MEAN OF 3 OBSERVATIONS. UNCERTAINTY IS STD DEV OF THE THREE,0.0,1.112,Z,19.173,19.403,,NSV 11154,,STD,,,,,0.0,0.0
2455137.316,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455139.278,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455144.254,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455156.317,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455159.315,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455166.275,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455169.289,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455178.214,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,0.0,0.0
2455188.233,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,-9999.99,-9999.99
2455199.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455200.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455279.9493,10.445820000000001,0.03,,V,DKS,,000-BJW-745,000-BJW-746,6959AIQ,,0.0,,Z,12.86,13.077,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455292.7563,10.375596,0.01,,V,DKS,,000-BJW-745,000-BJW-746,6959AIQ,,0.0,,Z,12.86,13.098,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455298.7588,10.437042000000002,0.02,,V,DKS,,000-BJW-745,000-BJW-746,6959AIQ,,0.0,,Z,12.86,13.069,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455308.7039,10.559934,0.01,,V,DKS,,000-BJW-745,000-BJW-745,6959AIQ,,0.0,,Z,12.86,13.104,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455326.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455330.7922,10.4098302,0.008,,V,DKS,,000-BJW-745,000-BJW-746,6959AIQ,,0.0,,Z,12.86,13.103,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455333.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455336.7854,10.3870074,0.008,,V,DKS,,000-BJW-745,000-BJW-746,6959AIQ,,0.0,,Z,12.86,13.084,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455337.9015,10.393151999999999,0.01,,V,DKS,,000-BJW-745,000-BJW-746,6959AIQ,,0.0,,Z,12.86,12.96,,NSV 11154,AAVSO,STD,,,,,934.9911397819204,743.8028396870322
2455350.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455351.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455353.36,11.244618,,,B,KVI,,,,1291FAR,CANON EOS 350D,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455353.36,9.875250000000001,,,R,KVI,,,,1291FAR,CANON EOS 350D,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455353.36,10.735494,,,V,KVI,,,,1291FAR,CANON EOS 350D,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,0.0,0.0
2455356.370405,10.638936000000001,0.002,,V,CPG,,1776485,1854444,TASS Mark IV,observatory Frasso Sabino 157 Roma,0.0,1.22,Z,-7.3,-6.9,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455356.9031,10.524822,0.01,,V,DKS,,000-BJW-745,000-BJW-745,6959AIQ,,0.0,,Z,12.86,13.08,,NSV 11154,AAVSO,STD,,,,,-9999.99,-9999.99
2455362.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,0.0,0.0
2455363.4931,11.58696,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455364.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455365.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455368.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455368.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455369.4882,11.58696,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,-9999.99,-9999.99
2455372.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,-9999.99,-9999.99
2455375.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455382.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455382.5,11.060279999999999,,,Vis.,PYG,,129+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455383.4896,11.499179999999999,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455386.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455387.4764,11.58696,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455390.414,10.077144000000002,,,R,KVI,,,,1291FAR,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455390.414,11.499179999999999,,,B,KVI,,,,1291FAR,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455390.414,10.893498000000001,,,V,KVI,,,,1291FAR,,0.0,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455394.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455395.4736,11.58696,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455413.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455418.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455419.4382,11.58696,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455426.5,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455427.4118,11.67474,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455431.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455432.4035,11.58696,,,Vis.,PYG,,,,1261adf,U; 22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455435.5,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455436.3993,11.67474,,,Vis.,PYG,,,,1261adf,U; 22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455437.5,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455438.4403,11.67474,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,0.0,0.0
2455439.5,11.148060000000001,,,Vis.,PYG,,129+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455440.3993,11.58696,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455442.5,11.235840000000001,,,Vis.,PYG,,129+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455443.4153,11.67474,,,Vis.,PYG,,,,1261adf,22cm,,,Z,,,,NSV 11154,BAA-VSS,STD,,,,BAAVSS,934.9911397819204,743.8028396870322
2455479.3,11.060279999999999,,,Vis.,FRF,,126,129,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455482.315,10.88472,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455484.4,10.88472,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455491.348,10.796940000000001,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455494.372,10.709159999999999,,,Vis.,PYG,B,119-3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455497.354,10.621379999999998,,,Vis.,FRF,,119,122,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455499.262,10.621379999999998,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455500.2,10.621379999999998,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455505.297,10.621379999999998,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455507.258,10.709159999999999,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455539.256,10.709159999999999,,,Vis.,PYG,,119-3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455677.556,10.358040000000003,,,Vis.,PYG,,119+1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455684.544,10.270259999999999,,,Vis.,PYG,,119+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455692.497,10.270259999999999,,,Vis.,PYG,,119+2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455706.507,10.621379999999998,,,Vis.,PYG,,119-2,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455707.469,10.709159999999999,,,Vis.,FRF,,119,126,3168AXB,,,,Z,,,,NSV 11154,MCSE,STD,,,,,934.9911397819204,743.8028396870322
2455713.537,10.88472,,,Vis.,PYG,,126+2,,3167GI,FADING,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455715.55,10.796940000000001,,,Vis.,PYG,,122-1,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455716.545,10.796940000000001,,,Vis.,PYG,,126+3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455724.513,10.709159999999999,,,Vis.,PYG,,119-3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
2455739.529,10.709159999999999,,,Vis.,PYG,,119-3,,3167GI,,,,Z,,,,NSV 11154,,STD,,,,,934.9911397819204,743.8028396870322
