JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2456546.37005,11.94245,0.05,,R,HGUA,,ENSEMBLE,134.0,12658ZY,,0.0,1.51,Z,,13.085,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456958.70356,13.8149,0.024,,V,SPP,,ENSEMBLE,150.0,13663ESY,,0.0,1.165,Z,,14.981,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2456966.66155,13.8415,0.018,,V,SPP,,ENSEMBLE,154.0,13685CDQ,,0.0,1.194,Z,,15.476,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457014.63995,13.99635,0.014,,V,SPP,,ENSEMBLE,154.0,13768ACTP,,0.0,1.12,Z,,15.5,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457018.67563,14.0543,0.018,,V,SPP,,ENSEMBLE,154.0,13768ACXT,,0.0,1.148,Z,,15.504,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457025.67921,14.155,0.02,,V,SPP,,ENSEMBLE,152.0,13835QL,,0.0,1.178,Z,,15.212,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457030.67075,14.121749999999999,0.013,,V,SPP,,ENSEMBLE,158.0,13928CY,,0.0,1.187,Z,,15.794,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457036.6547,14.080899999999998,0.011,,V,SPP,,ENSEMBLE,154.0,14172E,,0.0,1.188,Z,,15.528,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457695.7037,12.8611,0.023,,V,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.146,Z,,14.209,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457695.71047,14.415299999999998,0.033,,B,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.14,Z,,15.151,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457703.6916,12.9124,0.014,,V,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.136,Z,,14.217,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457703.69575,14.444749999999999,0.028,,B,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.134,Z,,15.136,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457705.6608,12.896249999999998,0.016,,V,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.162,Z,,14.229,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457705.67035,14.45235,0.048,,B,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.154,Z,,15.173,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457714.67015,12.834499999999998,0.02,,V,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.132,Z,,14.211,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457714.68184,14.363999999999999,0.036,,B,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.124,Z,,15.147,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
2457722.66524,12.88865,0.026,,V,SPP,,ENSEMBLE,142.0,X16915CK,,1.0,1.123,Z,,14.213,,NSVS J0051273+645649,AAVSO,STD,,,,,,472.52349084947855,708.7060990229543
