JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,Residual X,Residual Y
2443257.2,9.785,,,Vis.,CR,  .2<C,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2443360.0,10.165,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2443423.0,10.26,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2443454.9,11.78,,,Vis.,CR,  S4V6W,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2443747.2,9.785,,,Vis.,BNK,C,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2443806.0,10.26,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444176.9,11.78,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444372.05,12.635,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444384.14,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444426.94,12.635,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444438.08,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444479.95,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444489.98,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444490.96,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444492.97,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444493.9,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444521.94,13.68,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444702.2,11.78,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444707.1,12.065,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444709.55,12.065,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444711.61,11.78,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444724.64,11.399999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444729.0,12.065,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444730.13,12.065,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444738.0,11.969999999999999,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444739.63,11.399999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444783.38,10.639999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2444785.0099,11.305,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444787.94,11.495,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444794.97,11.114999999999998,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,0.0,0.0
2444812.02,11.399999999999999,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444832.94,11.114999999999998,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444836.93,11.685,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444875.95,10.639999999999999,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444879.95,10.545,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444901.95,10.735,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444904.0099,10.735,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2444925.9,10.639999999999999,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445061.12,11.589999999999998,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445077.1,12.635,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445083.13,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445106.07,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445109.06,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445113.07,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,-9999.99,-9999.99
2445120.0299,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445137.06,12.635,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445141.94,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445143.06,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445144.407,11.78,,,Vis.,OB,  =R,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445168.31,12.73,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445168.318,11.78,,,Vis.,OB,  <W,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445171.34,11.78,,,Vis.,OB,  <W,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445171.34,12.73,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445172.06,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445196.27,12.16,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445198.247,11.685,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445202.35,12.73,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445202.355,11.78,,,Vis.,OB,  <W,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445203.97,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445204.41,12.73,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,0.0,0.0
2445204.417,11.78,,,Vis.,OB,  <W,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445207.0,14.155,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445220.332,11.969999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445225.3,12.065,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445225.305,11.78,,,Vis.,OB,  <S,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445226.3,12.065,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445226.302,11.78,,,Vis.,OB,  <S,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445228.31,12.065,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445228.311,11.78,,,Vis.,OB,  <S,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445229.22,12.065,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445229.229,11.78,,,Vis.,OB,  <S,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445248.92,12.254999999999999,,,Vis.,WPX,Z,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445259.99,12.254999999999999,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445260.93,12.73,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445261.0,12.35,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445498.0299,11.589999999999998,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,0.0,0.0
2445529.452,11.21,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445546.315,11.21,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445547.283,11.114999999999998,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445548.282,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445549.249,11.02,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445551.289,11.02,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445554.0099,10.83,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445558.282,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,0.0,0.0
2445575.352,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,-9999.99,-9999.99
2445575.55,10.069999999999999,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445577.336,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445578.318,11.02,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445579.337,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445581.348,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445583.346,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445584.315,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445586.28,10.83,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V CRA,,STD,,,,RASNZ,934.9911397819204,743.8028396870322
2445586.284,10.545,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445587.288,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445592.249,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445595.348,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445596.268,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445597.257,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445601.262,11.02,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445602.319,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,0.0,0.0
2445603.303,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445604.336,10.924999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,-9999.99,-9999.99
2445605.298,10.735,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,0.0,0.0
2445606.271,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445608.261,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445611.247,10.83,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445623.97,10.735,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445644.262,10.735,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445647.9,10.545,,,Vis.,CR,,,,,,,,V,,,,V CRA,,STD,,,,,-9999.99,-9999.99
2445760.628,9.69,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,-9999.99,-9999.99
2445796.632,10.26,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445804.596,10.165,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445843.472,10.45,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445846.594,10.355,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445853.04,10.26,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445857.452,10.45,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445861.615,10.45,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445870.327,9.879999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445875.558,10.069999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445876.0,10.165,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445879.96,9.975,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445881.34,9.879999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445882.99,10.069999999999999,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445884.337,9.69,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445891.96,9.879999999999999,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445898.99,10.165,,,Vis.,WPX,,,,,,,,Z,,,,V CRA,VSS,STD,,,,,934.9911397819204,743.8028396870322
2445900.318,9.785,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445901.291,9.785,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445902.284,9.594999999999999,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445903.274,9.69,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
2445910.32,9.69,,,Vis.,OB,,,,,,,,V,,,,V CRA,,STD,,,,,934.9911397819204,743.8028396870322
