Date,JD (TCB),avg Mag,0,Residual X,Residual Y
Gaia24cfd,,,,472.52349084947855,708.7060990229543
2014-09-10 17:09:10,2456911.2147,untrusted,,472.52349084947855,708.7060990229543
2014-09-10 18:55:44,2456911.2887,untrusted,,472.52349084947855,708.7060990229543
2014-10-14 22:04:13,2456945.41959,untrusted,,472.52349084947855,708.7060990229543
2015-02-26 09:17:36,2457079.88722,14.90,,472.52349084947855,708.7060990229543
2015-02-26 11:04:11,2457079.96124,14.89,,472.52349084947855,708.7060990229543
2015-03-25 09:07:31,2457106.88022,14.74,,472.52349084947855,708.7060990229543
2015-03-25 10:54:06,2457106.95424,14.73,,472.52349084947855,708.7060990229543
2015-04-18 15:06:26,2457131.12947,14.85,,472.52349084947855,708.7060990229543
2015-09-03 09:50:35,2457268.91013,15.19,,472.52349084947855,708.7060990229543
2015-09-03 11:37:09,2457268.98413,15.17,,472.52349084947855,708.7060990229543
2015-10-03 09:27:14,2457298.89391,15.03,,472.52349084947855,708.7060990229543
2015-10-24 15:24:06,2457320.14174,,,472.52349084947855,708.7060990229543
2015-10-24 17:10:19,2457320.2155,15.18,,472.52349084947855,708.7060990229543
2016-03-07 16:28:00,2457455.18611,14.60,,472.52349084947855,708.7060990229543
2016-03-07 18:14:35,2457455.26013,14.62,,472.52349084947855,708.7060990229543
2016-04-08 16:07:02,2457487.17155,14.75,,472.52349084947855,708.7060990229543
2016-04-08 17:53:37,2457487.24557,untrusted,,472.52349084947855,708.7060990229543
2016-04-27 00:01:07,2457505.50078,14.74,,472.52349084947855,708.7060990229543
2016-04-27 04:14:48,2457505.67694,14.74,,472.52349084947855,708.7060990229543
2016-09-13 04:59:11,2457644.70777,19.94,,472.52349084947855,708.7060990229543
2016-09-13 06:46:00,2457644.78194,,,472.52349084947855,708.7060990229543
2016-10-17 16:22:20,2457679.18218,18.60,,472.52349084947855,708.7060990229543
2016-10-17 18:08:54,2457679.25618,18.62,,472.52349084947855,708.7060990229543
2016-11-01 10:27:13,2457693.93557,untrusted,,472.52349084947855,708.7060990229543
2016-11-01 12:13:46,2457694.00956,17.76,,472.52349084947855,708.7060990229543
2017-02-01 13:55:34,2457786.08025,15.28,,472.52349084947855,708.7060990229543
2017-02-01 18:09:15,2457786.25642,15.23,,472.52349084947855,708.7060990229543
2017-02-01 19:56:05,2457786.33061,,,472.52349084947855,708.7060990229543
2017-02-02 00:09:31,2457786.50661,15.28,,0.0,0.0
2017-02-02 01:56:06,2457786.58063,15.27,,472.52349084947855,708.7060990229543
2017-02-02 06:09:47,2457786.75679,15.27,,472.52349084947855,708.7060990229543
2017-02-06 12:13:58,2457791.0097,15.25,,472.52349084947855,708.7060990229543
2017-02-06 14:00:33,2457791.08372,15.25,,472.52349084947855,708.7060990229543
2017-02-06 18:14:14,2457791.25988,untrusted,,472.52349084947855,708.7060990229543
2017-02-06 20:00:49,2457791.3339,15.25,,472.52349084947855,708.7060990229543
2017-02-07 00:14:30,2457791.51007,15.25,,472.52349084947855,708.7060990229543
2017-02-07 02:01:05,2457791.58409,15.25,,472.52349084947855,708.7060990229543
2017-03-18 07:01:47,2457830.79291,14.68,,472.52349084947855,708.7060990229543
2017-03-18 08:48:22,2457830.86692,14.67,,472.52349084947855,708.7060990229543
2017-04-26 00:32:39,2457869.52267,untrusted,,472.52349084947855,708.7060990229543
2017-04-26 02:19:13,2457869.59668,14.69,,472.52349084947855,708.7060990229543
2017-04-26 06:33:22,2457869.77317,,,472.52349084947855,708.7060990229543
2017-04-26 08:19:29,2457869.84686,14.69,,472.52349084947855,708.7060990229543
2017-05-03 18:39:52,2457877.27769,14.77,,472.52349084947855,708.7060990229543
2017-05-03 20:26:27,2457877.3517,14.75,,472.52349084947855,708.7060990229543
2017-05-04 00:40:08,2457877.52787,14.76,,472.52349084947855,708.7060990229543
2017-05-04 02:26:43,2457877.60189,14.76,,472.52349084947855,708.7060990229543
2017-05-04 06:40:24,2457877.77806,14.78,,472.52349084947855,708.7060990229543
2017-08-06 08:01:24,2457971.83431,14.39,,472.52349084947855,708.7060990229543
2017-08-06 09:47:58,2457971.90831,untrusted,,472.52349084947855,708.7060990229543
2017-08-06 15:48:10,2457972.15845,14.43,,472.52349084947855,708.7060990229543
2017-08-17 08:08:09,2457982.83899,14.44,,-9999.99,-9999.99
2017-08-17 09:54:43,2457982.913,14.43,,472.52349084947855,708.7060990229543
2017-08-17 14:08:22,2457983.08914,14.44,,472.52349084947855,708.7060990229543
2017-09-24 01:30:21,2458020.56274,14.40,,472.52349084947855,708.7060990229543
2018-02-07 20:31:42,2458157.35535,,,472.52349084947855,708.7060990229543
2018-02-07 22:17:49,2458157.42904,14.09,,472.52349084947855,708.7060990229543
2018-02-08 02:31:30,2458157.60521,14.07,,472.52349084947855,708.7060990229543
2018-03-28 21:59:46,2458206.4165,13.97,,0.0,0.0
2018-08-14 04:50:52,2458344.70199,14.15,,472.52349084947855,708.7060990229543
2018-08-14 09:04:31,2458344.87814,14.16,,472.52349084947855,708.7060990229543
2018-08-14 10:51:04,2458344.95213,14.17,,472.52349084947855,708.7060990229543
2018-09-03 04:52:32,2458364.70315,14.13,,472.52349084947855,708.7060990229543
2018-10-04 16:25:07,2458396.18411,14.12,,472.52349084947855,708.7060990229543
2019-02-16 21:37:26,2458531.401,13.74,,472.52349084947855,708.7060990229543
2019-03-10 21:37:39,2458553.40115,13.79,,472.52349084947855,708.7060990229543
2019-03-10 23:24:13,2458553.47515,13.83,,472.52349084947855,708.7060990229543
2019-04-08 15:24:42,2458582.14215,13.94,,472.52349084947855,708.7060990229543
2019-08-21 20:15:32,2458717.34412,13.94,,472.52349084947855,708.7060990229543
2019-08-21 22:02:05,2458717.41811,13.91,,472.52349084947855,708.7060990229543
2019-09-14 02:59:09,2458740.62441,13.75,,472.52349084947855,708.7060990229543
2019-09-14 04:45:43,2458740.69841,13.75,,472.52349084947855,708.7060990229543
2019-10-12 17:51:49,2458769.24432,14.18,,472.52349084947855,708.7060990229543
2020-02-20 13:33:35,2458900.06499,15.10,,472.52349084947855,708.7060990229543
2020-02-20 15:20:09,2458900.13899,15.10,,0.0,0.0
2020-03-16 14:32:27,2458925.10587,15.33,,472.52349084947855,708.7060990229543
2020-04-11 15:36:07,2458951.15008,15.28,,472.52349084947855,708.7060990229543
2020-08-14 15:02:54,2459076.12701,14.99,,472.52349084947855,708.7060990229543
2020-08-14 16:49:28,2459076.20102,14.98,,472.52349084947855,708.7060990229543
2020-09-04 03:03:36,2459096.6275,14.73,,472.52349084947855,708.7060990229543
2020-09-04 04:50:09,2459096.70149,14.73,,472.52349084947855,708.7060990229543
2020-10-05 04:23:51,2459127.68323,14.84,,472.52349084947855,708.7060990229543
2021-02-17 05:22:36,2459262.72403,14.21,,0.0,0.0
2021-03-11 17:21:57,2459285.22358,14.20,,472.52349084947855,708.7060990229543
2021-04-08 23:10:03,2459313.46531,14.36,,472.52349084947855,708.7060990229543
2021-04-09 03:23:44,2459313.64148,14.37,,472.52349084947855,708.7060990229543
2021-09-19 11:45:15,2459476.98976,14.49,,472.52349084947855,708.7060990229543
2022-02-27 00:31:35,2459637.52193,14.30,,472.52349084947855,708.7060990229543
